Volume,Issue,Page no.,Scan Quality,Contents Title,Author,Form ,Page layout,Illustrated,What illustration,Advertisment, Interactive ,What interactive ,Event 
,,30,Good,Dramarama,"Jules Cassidy, J.P. Goodchild, Jan Holmes, Sally Bradbury, Angela Stewart-Park",Article,Columns,N,N,N,N,N/A,N
,,31,Good,N/A,"Jules Cassidy, J.P. Goodchild, Jan Holmes, Sally Bradbury, Angela Stewart-Park",Article,Columns,Y,Advert,"Bookshops, Super Services",,N/A,N
,,32,Good,N/A,N/A,Sappho,Columns,Y,"Title, Graphic","Groups, meetings",N,N/A,Meetings for Sappho and advertised group organisations.
,,33,Good,N/A,N/A,Sappho,Columns,N,N,Groups ,N,N/A,N
,,34,Good,N/A,N/A,Subscription,Paragraph,Y,"Title, Border",N,Y,Cassette club,N
,,35,Good,N/A,N/A,Subscription,Paragraph,Y,Graphic,N,Y,Subscriptions,N
,,36,Good,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,7,1,Good,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,Sappho,Paragraph,N,N,N,N,N/A,N
,,3,Ok,N/A,N/A,"Contents, Credits",Text boxes,Y,Comic,N,N,N/A,N
,,4,Good,Sapphoscene,N/A,Sapphoscene ,Columns,Y,Title,Groups ,N,N/A,"Meetings, Disco"
,,5,Good,N/A,N/A,Sapphoscene ,Columns,N,N,Groups ,N,N/A,"Meetings, Disco"
,,6,Good,Depressing Women,Denise ,Article,Columns,N,N,N,N,N/A,N
,,7,Good,N/A,Denise ,Article,Columns,N,N,N,N,N/A,N
,,8,Good,N/A,Denise ,Article,Columns,N,N,N,N,N/A,N
,,9,Good,Heteraecetera,N/A,Letters,Columns,Y,"Title, Graphic",N,Y,Letters to Sappho and replies ,N
,,10,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,11,Good,Straightjacket,Prudence Jones,Article,Columns,N,N,N,N,N/A,N
,,12,Good,N/A,Prudence Jones,Article,Columns,N,N,N,N,N/A,N
,,13,Good,Portrait,Her Daughter ,Article,Columns,N,N,N,N,N/A,N
,,14,Good,N/A,Her Daughter ,Article,Columns,N,N,N,N,N/A,N
,,15,Good,Monogamy,Gloria,Article,Columns,N,N,N,N,N/A,N
,,16,Good,N/A,Gloria,Article,Columns,N,N,N,N,N/A,N
,,17,Good,Cartoon,N/A,Comic,Illustration,Y,Comic,N,N,N/A,N
,,18,Good,Womens Day March,N/A,N/A,N/A,N,N,N,N,N/A,N
,,19,Ok,N/A,Amazon,Photos,Collage,Y,Photograph,N,N,N/A,N
,,20,Good,Maureen Duffy ,Maureen Duffy,Poem,Paragraph,N,N,N,N,N/A,N
,,21,Good,N/A,N/A,Adverts,"Illustration, Text",Y,Advert,Poetry book,N,N/A,N
,,22,Good,Maureen Duffy ,Maureen Duffy,Photos,Paragraph,N,N,N,N,N/A,N
,,23,Good,Amazon,N/A,Article,Paragraph,Y,"Title, Graphic",N,N,N/A,N
,,24,Good,Story,D.T.,Story,Columns,N,N,N,N,N/A,N
,,25,Good,N/A,D.T.,Story,Columns,N,N,N,N,N/A,N
,,26,Good,N/A,D.T.,Story,Columns,N,N,Hotel,N,N/A,N
,,27,Good,Coming out,Two London Teachers ,Article,Columns,N,N,N,N,N/A,N
,,28,Good,N/A,Two London Teachers ,Article,Columns,Y,"Advert, Graphic",Sappho promotion graphics,N,N/A,Disco
,,29,Good,N/A,N/A,"Letters, Adverts",Columns,Y,Advert,CHE Conference,N,N/A,Conference
,,30,Good,Gay Medics,Deborah Bell,Article,Columns,Y,Comic,N,N,N/A,N
,,31,Good,N/A,Deborah Bell,Article,Columns,Y,Advert,"Bookshops, Super Services",N,N/A,N
,,32,Good,N/A,N/A,Sappho,Columns,Y,"Title, Graphic","Groups, meetings",N,N/A,Meetings for Sappho and advertised group organisations.
,,33,Good,N/A,N/A,Sappho,Columns,N,N,Groups ,N,N/A,Meetings for advertised groups
,,34,Good,N/A,N/A,Subscription,Paragraph,Y,"Title, Border",N,Y,Cassette club,N
,,35,Good,N/A,N/A,Subscription,Paragraph,Y,Graphic,N,Y,Subscriptions,N
,,36,Good,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,9,1,Good,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,Sappho,Paragraph,Y,Graphic,N,N,N/A,N
,,3,Poor,N/A,N/A,"Contents, Credits",Text boxes,N,N,N,N,N/A,N
,,4,Ok,Sapphoscene,N/A,Sapphoscene ,Columns,Y,Title,"Groups, meetings",N,N/A,Conference
,,5,Ok,N/A,N/A,Sapphoscene ,Columns,N,N,"Groups, meetings",N,N/A,Conference
,,6,Ok,Throw away people,Alison J. Laurie,Article,Columns,N,N,N,N,N/A,N
,,7,Good,N/A,Alison J. Laurie,Article,Columns,N,N,N,N,N/A,N
,,8,Good,Heteraecetera,N/A,Article,Columns,N,N,N,N,N/A,N
,,9,Ok,N/A,N/A,Letters,Columns,Y,"Title, Graphic",N,Y,Letters to Sappho and replies ,N
,,10,Ok,N/A,N/A,Letters,Columns,Y,Comic,N,Y,Letters to Sappho and replies ,N
,,11,Good,Wimbledon,N/A,Comic,Illustration,Y,Large Comic,N,N,N/A,N
,,12,Good,Love and Action,Renee Bailey ,Article,Columns,N,N,N,N,N/A,N
,,13,Ok,N/A,Renee Bailey ,Article,Columns,N,N,N,N,N/A,N
,,14,Ok,About Turn,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,15,Ok,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,16,Ok,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,17,Good,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,18,Good,Story,Evelyn James,Story,Columns,N,N,N,N,N/A,N
,,19,Ok,N/A,Evelyn James,Story,Columns,N,N,N,N,N/A,N
,,20,Good,Gay Workers Conference ,Wendy Clark,Article,Columns,N,N,N,N,N/A,N
,,21,Good,N/A,N/A,Adverts,"Illustration, Text",Y,Advert,Poetry book,N,N/A,N
,,22,Ok,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,23,Poor,Amazon,N/A,Article,Paragraph,Y,"Title, Graphic",N,N,N/A,N
,,24,Ok,N/A,N/A,Review,Columns,N,N,N,N,N/A,N
,,25,Good,Book Review,N/A,Review,Columns,Y,Advert,"Other magazines, Sappho typesetting",N,N/A,N
,,26,Good,Think Positive,Rev. Robert Wolfe,Article,Paragraph,N,N,N,N,N/A,N
,,27,Ok,Love via London,Jo Cox,Article,Columns,N,N,N,N,N/A,N
,,28,Poor,N/A,Jo Cox,Article,Columns,Y,Advert,Sappho promotion ,N,N/A,Disco
,,29,Good,Healthy Living ,Carol Lee,Article,Columns,N,N,N,N,N/A,N
,,30,Good,N/A,Carol Lee,"Article, Recipe",Columns,N,N,N,N,N/A,N
,,31,Poor,N/A,Evelyn James,Story,Columns,Y,Advert,"Bookshops, Super Services",N,N/A,N
,,32,Poor,N/A,N/A,Sappho,Columns,Y,"Title, Graphic","Groups, meetings",N,N/A,N
,,33,Poor,N/A,N/A,Sappho,Columns,N,N,Groups ,N,N/A,N
,,34,Ok,N/A,N/A,Subscription,Paragraph,Y,"Title, Border",N,Y,Cassette club,N
,,35,Good,N/A,N/A,Adverts,Paragraph,Y,Advert,"Club, Restaurant",N,N/A,N
,,36,Good,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,11,1,Good,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,Sappho,Paragraph,Y,Graphic,N,N,N/A,N
,,3,Ok,N/A,N/A,"Contents, Credits",Text boxes,N,N,Groups ,N,N/A,N
,,4,Good,Sapphoscene,N/A,Sapphoscene ,Columns,Y,Title,N,N,N/A,N
,,5,Ok,Womanschool,"Yum-Yum, Pitti-Sing and Peep-Bo",Article,Columns,N,N,N,N,N/A,N
,,6,Ok,West Yorks,Jackie Forster,Article,Columns,N,N,N,N,N/A,N
,,7,Ok,N/A,Jackie Forster,Article,Columns,Y,Advert,Sappho promotion ,N,N/A,N
,,8,Good,Gay and Faithful,Sera Coggin,Article,Columns,N,N,N,N,N/A,N
,,9,Ok,Heteraecetera,N/A,Letters,Columns,Y,"Title, Graphic",N,Y,Letters to Sappho and replies ,N
,,10,Ok,N/A,N/A,Letters,Columns,Y,Comic,N,Y,Letters to Sappho and replies ,N
,,11,Good,Minus One,Shirley Kennington,Article,Columns,N,N,N,N,N/A,N
,,12,Good,N/A,Shirley Kennington,Article,Columns,N,N,N,N,N/A,N
,,13,Ok,Angry Poem ,Georgia,Poem,Columns,N,N,N,N,N/A,N
,,14,Ok,No Time for Screaming,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,15,Good,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,16,Good,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,17,Good,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,18,Good,CHE Law Reform ,N/A,Article,Paragraph,N,N,N,N,N/A,N
,,19,Ok,N/A,N/A,Article,Paragraph,N,N,N,N,N/A,N
,,20,Good,Holidays '76,N/A,Comic,Illustration,Y,Large Comic,N,N,N/A,N
,,21,Good,N/A,N/A,Adverts,"Illustration, Text",Y,Advert,Poetry book,N,N/A,N
,,22,Good,Nancy  Caredenas ,N.A. Deiman,Article,Columns,N,N,N,N,N/A,N
,,23,Ok,Amazon,N/A,Article,Paragraph,Y,"Title, Graphic",N,N,N/A,N
,,24,Good,N/A,Joan Young,Article,Columns,Y,Advert,"Other magazines, Sappho typesetting",N,N/A,N
,,25,Ok,Short Story,V.A.Vennett,Story,Columns,Y,Large graphic,N,N,N/A,N
,,26,Good,N/A,V.A.Vennett,Story,Columns,N,N,N,N,N/A,N
,,27,Ok,N/A,V.A.Vennett,Story,Columns,N,N,N,N,N/A,N
,,28,Good,N/A,N.A. Deiman,Article,Columns,Y,"Advert, Graphic",Sappho promotion ,N,N/A,Disco
,,29,Good,Radiographer ,Jenni ,Article,Columns,N,N,N,N,N/A,N
,,30,Good,N/A,Jenni ,Article,Columns,N,N,N,N,N/A,N
,,31,Ok,N/A,Jenni ,Article,Columns,Y,"Advert, Graphic","Bookshops, Super Services",N,N/A,N
,,32,Good,N/A,N/A,Sappho,Columns,Y,"Title, Graphic","Groups, meetings",N,N/A,Meetings for Sappho and advertised group organisations.
,,33,Good,N/A,N/A,Sappho,Columns,N,N,Groups ,N,N/A,Meetings for advertised groups
,,34,Ok,N/A,N/A,Subscription,Paragraph,Y,"Title, Border",N,Y,Cassette club,N
,,35,Good,N/A,N/A,Adverts,Paragraph,Y,Advert,"Club, Restaurant",N,N/A,N
,,36,Good,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
5,1,1,Good,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,Sappho,Paragraph,Y,Graphic,N,Y,Subscriptions,N
,,3,Good,N/A,N/A,"Contents, Credits",Text boxes,N,N,N,N,N/A,N
,,4,Good,Sapphoscene,N/A,Sapphoscene ,Columns,Y,Title,N,N,N/A,N
,,5,Good,N/A,N/A,Sapphoscene ,Columns,N,N,Other magazines,N,N/A,N
,,6,Good,Delphine Seyrig,Jackie Forster,Interview,Columns,N,N,N,N,N/A,N
,,7,Good,N/A,Jackie Forster,Interview,Columns,N,N,N,N,N/A,N
,,8,Good,N/A,Jackie Forster,Interview,Columns,N,N,N,N,N/A,N
,,9,Good,Heteraecetera,N/A,Letters,Columns,Y,"Title, Graphic",N,Y,Letters to Sappho and replies ,N
,,10,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,11,Good,Occupational Hazards,Veronica Harvey ,Article,Columns,N,N,N,N,N/A,N
,,12,Good,N/A,Veronica Harvey ,Article,Columns,Y,Advert,Sappho promotion ,N,N/A,N
,,13,Good,Short Story,Roj Behring,Story,Columns,N,N,N,N,N/A,N
,,14,Good,N/A,Roj Behring,Story,Columns,N,N,N,N,N/A,N
,,15,Good,N/A,Roj Behring,Story,Columns,N,N,N,N,N/A,N
,,16,Good,N/A,Roj Behring,Story,Columns,Y,Advert,CHE Winter Fair,N,N/A,N
,,17,Good,Apple Pie Order,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,18,Good,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,19,Good,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,20,Good,N/A,Joan Young,Article,Columns,N,N,N,N,N/A,N
,,21,Good,N/A,N/A,Adverts,"Illustration, Text",Y,Advert,Poetry book,N,N/A,N
,,22,Good,Poem ,Joan McHugh,Poem,"Paragraph, Text Boxes",N,N,Insurance Consultant,N,N/A,N
,,23,Good,Amazon,N/A,Article,Paragraph,Y,"Title, Graphic",N,N,N/A,N
,,24,Good,N/A,N/A,Letters,Columns,Y,Advert,"Super Services, Typesetting",Y,Letters to Sappho and replies ,N
,,25,Good,Sappho Poems,Millicent Brandiee,Poem,Paragraph,N,N,N,N,N/A,N
,,26,Good,Cartoon,N/A,Comic,Illustration,Y,Comic,N,N,N/A,N
,,27,Good,Books,Marlene Packwood,Review,Columns,Y,Graphic,N,N,N/A,N
,,28,Good,N/A,Marlene Packwood,Review,Columns,Y,Advert,Disco,N,N/A,N
,,29,Good,N/A,Myrtle Nixon,Review,Columns,N,N,N,N,N/A,N
,,30,Good,Reds in the Bed,Cleis,Article,Columns,N,N,N,N,N/A,N
,,31,Good,N/A,Cleis,Article,Columns,Y,Advert,"Bookshop, Travel services",N,N/A,N
,,32,Good,N/A,N/A,Sappho,Columns,Y,"Title, Graphic","Groups, meetings",N,N/A,Meetings for Sappho and advertised group organisations.
,,33,Good,N/A,N/A,Sappho,Columns,N,N,Groups ,N,N/A,Meetings for advertised groups
,,34,Good,N/A,N/A,Subscription,Paragraph,Y,"Title, Border",N,Y,Cassette club,N
,,35,Good,N/A,N/A,Adverts,Paragraph,Y,Advert,"Club, Restaurant",N,N/A,N
,,36,Good,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,3,1,Good,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,Sappho,Paragraph,Y,Graphic,N,Y,Subscriptions,N
,,3,Good,N/A,N/A,"Contents, Credits",Text boxes,N,N,N,N,N/A,N
,,4,Good,Sapphoscene,N/A,Sapphoscene ,Columns,Y,Title,N,N,N/A,N
,,5,Good,N/A,N/A,Sapphoscene ,Columns,N,N,N,N,N/A,N
,,6,Good,N/A,N/A,Sapphoscene ,Columns,N,N,N,N,N/A,N
,,7,Good,Lesbian Mothers,N/A,Article,Columns,N,N,N,N,N/A,N
,,8,Good,Cartoon,N/A,Comic,Illustration,Y,Large Comic,N,N,N/A,N
,,9,Good,Heteraecetera,N/A,Letters,Columns,Y,"Title, Graphic",Sappho promotion ,Y,Letters to Sappho and replies ,N
,,10,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,11,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,12,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,13,Good,Competition,N/A,Competition,"Paragraph, Text Boxes",Y,Advert,Book,Y,Read By Competition,N
,,14,Good,Short Story,Marion England,Story,Columns,N,N,N,N,N/A,N
,,15,Good,N/A,Marion England,Story,Columns,Y,Advert,Other magazines,N,N/A,N
,,16,Good,Reviews,N/A,Review,Columns,Y,"Title, Graphic",N,N,N/A,N
,,17,Good,N/A,N/A,Review,Columns,Y,"Title, Graphic",N,N,N/A,N
,,18,Good,N/A,N/A,Review,Columns,Y,"Graphic, Border",Poetry book,N,N/A,N
,,19,Good,N/A,C.T.,Review,Columns,Y,Graphic,N,N,N/A,N
,,20,Good,Poem ,J.W.,"Review, Poem","Columns, Paragraph",N,N,N,N,N/A,N
,,21,Good,N/A,N/A,Adverts,"Illustration, Text",Y,Advert,Poetry book,N,N/A,N
,,22,Good,N/A,N/A,Adverts,"Paragraph, Text Boxes",N,N,Gaitey Club Card,Y,Membership for GCC,N
,,23,Good,Amazon,N/A,Article,Paragraph,Y,"Title, Graphic",N,N,N/A,N
,,24,Good,Last Rights,Cleis,Article,Columns,Y,Advert,"Super Services, Typesetting",N,N/A,N
,,25,Good,N/A,N/A,Sapphoscene ,Columns,Y,Advert,Bookshop,N,N/A,N
,,26,Good,N/A,N/A,Adverts,Paragraph,Y,Advert,"Club, Restaurant",N,N/A,N
,,27,Good,Poem ,Jean,Poem,Paragraph,N,Paragraph,N,N,N/A,N
,,28,Good,N/A,Cleis,Article,Columns,Y,Advert,Sappho promotion ,N,N/A,Disco
,,29,Good,Keeping Warm,Carol Lee,Article,Columns,N,N,N,N,N/A,N
,,30,Good,N/A,Carol Lee,Article,Columns,N,N,N,N,N/A,N
,,31,Good,N/A,Carol Lee,Article,Columns,Y,Advert,"Bookshop, Counselling ",N,N/A,N
,,32,Good,N/A,N/A,Sappho,Columns,Y,"Title, Graphic","Groups, meetings",N,N/A,Meetings for Sappho and advertised group organisations.
,,33,Good,N/A,N/A,Sappho,Columns,Y,Graphic,Groups ,N,N/A,Meetings for advertised groups
,,34,Good,N/A,N/A,Subscription,Paragraph,Y,"Title, Border",N,Y,Cassette club,N
,,35,Poor,N/A,N/A,Adverts,"Illustration, Text",Y,"Title, Graphic",Book,Y,Application for Booklet,N
,,36,Good,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,5,1,Good,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,Sappho,Paragraph,Y,Graphic,N,Y,Subscriptions,N
,,3,Good,N/A,N/A,"Contents, Credits",Text boxes,N,N,N,N,N/A,N
,,4,Good,Sapphoscene,N/A,Sapphoscene ,Columns,Y,Title,N,N,N/A,N
,,5,Good,Sappho- Herstory,Jackie Forster,Sapphoscene ,Columns,Y,Border,N,N,N/A,N
,,6,Good,N/A,N/A,Sapphoscene ,Columns,N,N,N,N,N/A,N
,,7,Good,Chairperson's Report,Jenny Green,Sappho,Columns,Y,Advert,Bar,N,N/A,N
,,8,Good,Problems,Jackie Forster,Article,Columns,N,N,N,N,N/A,N
,,9,Good,Heteraecetera,N/A,Letters,Columns,Y,"Title, Graphic",N,Y,Letters to Sappho and replies ,N
,,10,Good,N/A,N/A,Letters,Columns,N,N,Groups ,Y,Letters to Sappho and replies ,N
,,11,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,12,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,13,Good,N/A,N/A,Letters,Columns,Y,Advert,Other magazines,Y,Letters to Sappho and replies ,N
,,14,Good,Money for Women,Ruth Hall,Article,Columns,N,N,N,N,N/A,N
,,15,Good,N/A,Ruth Hall,Article,Columns,Y,Advert,Other magazines,N,N/A,N
,,16,Good,N/A,Ruth Hall,Article,Columns,N,N,N,N,N/A,N
,,17,Good,Gaycon,Ian Harvey,Article,Columns,N,N,N,N,N/A,N
,,18,Good,N/A,Ian Harvey,Article,Columns,N,N,N,N,N/A,N
,,19,Good,"Hullo, Popey ",Jeni,Article,Columns,N,N,N,N,N/A,N
,,20,Good,N/A,Jeni,Article,Columns,N,N,N,N,N/A,N
,,21,Good,N/A,N/A,Adverts,Columns,Y,Advert,Poetry book,N,N/A,N
,,22,NO SCAN,N/A,,,,,,,,,
,,23,NO SCAN,Amazon,,,,,,,,,
,,24,NO SCAN,N/A,,,,,,,,,
,,25,NO SCAN,Day in the Life of…,,,,,,,,,
,,26,NO SCAN,N/A,,,,,,,,,
,,27,NO SCAN,Short Story,,,,,,,,,
,,28,NO SCAN,N/A,,,,,,,,,
,,29,NO SCAN,N/A,,,,,,,,,
,,30,NO SCAN,Togetherness,,,,,,,,,
,,?,MISSING SCANS- maybe 5 more pages?,,,,,,,,,,
,7,1,Good,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,Sappho,Paragraph,Y,Graphic,N,Y,Subscriptions,N
,,3,Good,N/A,N/A,"Contents, Credits",Text boxes,N,N,N,N,N/A,N
,,4,Good,Sapphoscene,N/A,Sapphoscene ,Columns,Y,Title,N,N,N/A,N
,,5,Good,N/A,N/A,Sapphoscene ,Columns,Y,Comic,Groups ,N,N/A,"Disco, Talks"
,,6,Good,Danish Women,N/A,Article,Columns,N,N,N,N,N/A,N
,,7,Good,N/A,N/A,Article,Columns,N,N,N,N,N/A,N
,,8,Good,Upper Room,Ann Fanning,Story,Columns,N,N,N,N,N/A,N
,,9,Good,Heteraecetera,N/A,Letters,Columns,Y,"Title, Graphic",N,Y,Letters to Sappho and replies ,N
,,10,Good,N/A,N/A,Letters,Columns,Y,Graphic,N,Y,Letters to Sappho and replies ,N
,,11,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,12,Good,Ms. Sappho,Cheryl Tidmarsh,Questionnaire,Paragraph,Y,Title,N,Y,Questionnaire  ,N
,,13,Good,N/A,Cheryl Tidmarsh,Questionnaire,Paragraph,N,N,N,Y,Questionnaire  ,N
,,14,Good,With a Conf. Conf. Here,R.B.,Article,Columns,N,N,N,N,N/A,N
,,15,Good,N/A,R.B.,Article,Columns,N,N,Other magazines,N,N/A,N
,,16,Good,N/A,R.B.,Article,Columns,Y,Graphic,Other magazines,N,N/A,N
,,17,Good,Do Us a Favour,Jill Griffin,Article,Columns,N,N,N,N,N/A,N
,,18,Good,Madame Truesoul,Herself,Article,Paragraph,Y,Photograph,N,N,N/A,N
,,19,Good,N/A,Louise Cameron,Review,Paragraph,Y,Photograph,N,N,N/A,N
,,20,Good,Cartoon,N/A,Comic,Illustration,Y,Large Comic,N,N,N/A,N
,,21,Good,N/A,N/A,Adverts,"Illustration, Text",Y,"Title, Graphic",Poetry book,N,N/A,N
,,22,Good,Collect Your Kisses,Diana Jones,Article,Columns,Y,Comic,N,N,N/A,N
,,23,Good,Amazon,N/A,Article,Paragraph,Y,"Title, Graphic",N,N,N/A,N
,,24,Good,N/A,N/A,"Article, Letters",Columns,Y,Advert,"Super Services, Bookshop",Y,Letters to Sappho and replies ,N
,,25,Good,Camilla Hall,Janet Clarke,Obituary,Columns,Y,Small Graphic,N,N,N/A,N
,,26,Good,N/A,N/A,Adverts,"Illustration, Text",Y,Advert,"Sappho promotion, Sappho Pendant",Y,Questionnaire ,N
,,27,Good,Gay Berlin,Eve Rieger,Article,Columns,N,N,N,N,N/A,N
,,28,Good,N/A,Eve Rieger,Article,Columns,Y,"Advert, Small Graphic",Sappho promotion ,N,N/A,Disco
,,29,Good,N/A,"Ann Fanning, Jill Griffin","Story, Article",Columns,Y,Comic,N,N,N/A,N
,,30,Good,Book Reviews,N/A,Review,Columns,Y,"Title, Graphic",N,N,N/A,N
,,31,Good,N/A,K.L.,Review,Columns,Y,Comic,N,N,N/A,N
,,32,Good,N/A,N/A,Sappho,Columns,Y,"Title, Graphic","Groups, meetings",N,N/A,Meetings for Sappho and advertised group organisations.
,,33,Good,N/A,N/A,Sappho,Columns,N,N,Groups ,N,N/A,Meetings for advertised groups
,,34,Good,N/A,N/A,Sappho,Paragraph,Y,"Title, Border",N,Y,Cassette club,N
,,35,Good,N/A,N/A,Adverts,Paragraph,Y,Title,Gaitey Club Card,Y,Membership for GCC,N
,,36,Good,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,9,1,Good,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,Sappho,Paragraph,Y,Graphic,N,Y,Subscriptions,N
,,3,Good,N/A,N/A,"Contents, Credits",Text boxes,N,N,N,N,N/A,N
,,4,Good,Sapphoscene,N/A,Sapphoscene ,Columns,Y,Title,N,N,N/A,N
,,5,Good,N/A,N/A,Sapphoscene ,Columns,Y,Comic,N,N,N/A,N
,,6,Good,Short Story,Val McDermid,Story,Columns,N,N,N,N,N/A,N
,,7,Good,N/A,Val McDermid,Story,Columns,N,N,N,N,N/A,N
,,8,Good,N/A,Val McDermid,Story,Columns,Y,Graphic,N,N,N/A,N
,,9,Good,Heteraecetera,N/A,Letters,Columns,Y,"Title, Graphic",N,Y,Letters to Sappho and replies ,N
,,10,Good,N/A,N/A,Letters,Columns,N,N,N,Y,Letters to Sappho and replies ,N
,,11,Ok,Over to You,Cheryl Tidmarsh,Article,Paragraph,N,N,N,N,N/A,N
,,12,Good,N/A,Cheryl Tidmarsh,Article,Paragraph,N,N,N,N,N/A,N
,,13,Good,N/A,Cheryl Tidmarsh,Article,Paragraph,N,N,N,N,N/A,N
,,14,Good,N/A,Cheryl Tidmarsh,Article,Paragraph,N,N,N,N,N/A,N
,,15,Good,N/A,Cheryl Tidmarsh,Article,Paragraph,N,N,N,N,N/A,N
,,16,Good,N/A,Cheryl Tidmarsh,Article,Paragraph,N,N,N,N,N/A,N
,,17,Good,N/A,Cheryl Tidmarsh,Article,Paragraph,N,N,N,N,N/A,N
,,18,Good,Remarkable Woman,Veronica Harvey ,Article,Columns,N,N,N,N,N/A,N
,,19,Good,N/A,Veronica Harvey ,Article,Columns,Y,Photograph,N,N,N/A,N
,,20,Good,Poems,Lola White Claflin,Poem,Paragraph,N,N,N,N,N/A,N
,,21,Good,Custody Problems,N/A,Article,Columns,N,N,N,N,N/A,N
,,22,Good,N/A,N/A,Article,Columns,N,N,N,N,N/A,N
,,23,Good,Amazon,N/A,Article,Paragraph,Y,"Title, Graphic",N,N,N/A,N
,,24,Good,Theatre,Petronella Breinburg,Article,Columns,Y,Advert,"Super Services, Bookshop",N,N/A,N
,,25,Good,N/A,Petronella Breinburg,Article,Columns,Y,Advert,Other magazines,N,N/A,N
,,26,Good,N/A,A Single Mother,Article,Columns,N,N,N,N,N/A,N
,,27,Good,Books,K.L.,Review,Columns,Y,"Title, Graphic, Advert",Disco,N,N/A,Disco
,,28,Good,More Up Country,K.L.,Article,Columns,Y,Advert,Sappho promotion ,N,N/A,Disco
,,29,Good,N/A,Cheryl Tidmarsh,Article,Paragraph,Y,Advert,Sappho Pendant,N,N/A,N
,,30,Good,N/A,K.L.,Article,Columns,N,N,N,N,N/A,N
,,31,Good,"Hey, Amazon!",Myrtle Nixon,Article,Columns,N,N,N,N,N/A,N
,,32,Good,N/A,N/A,Sappho,Columns,Y,"Title, Graphic","Groups, meetings",N,N/A,Meetings for Sappho and advertised group organisations.
,,33,Good,N/A,N/A,Sappho,Columns,N,N,Groups ,N,N/A,Meetings for advertised groups
,,34,Good,N/A,N/A,Sappho,Paragraph,Y,"Title, Border",N,Y,Cassette club,N
,,35,Good,N/A,N/A,Adverts,"Illustration, Text",Y,Advert,Poetry book,N,N/A,N
,,36,Good,N/A,N/A,Back page,Cover ,Y,Cover,N,N,N/A,N
,11,1,Ok,N/A,N/A,Front Cover,Cover ,Y,Cover,N,N,N/A,N
,,2,Good,N/A,N/A,Sappho,Paragraph,Y,Graphic,N,Y,Subscriptions,N
,,3,Good,N/A,N/A,"Contents, Credits",Text boxes,N,N,N,N,N/A,N
,,4,Good,Sapphoscene,N/A,Sapphoscene ,Columns,Y,Title,N,N,N/A,N
,,5,Good,Verbal Terrorism,"Sara de Azcarate, Lila Guha",Article,Columns,N,N,N,N,N/A,N
,,6,Good,N/A,"Sara de Azcarate, Lila Guha",Article,Columns,N,N,N,N,N/A,N
,,7,Good,Gay Jews Conference,Helen Milton,Article,Columns,N,N,N,N,N/A,N
,,8,Good,N/A,Helen Milton,Article,Columns,N,N,N,N,N/A,N
